#lemma	stem
opiekun	opiekun
suma	sum
członek	członek
komórka	komórk
tomograf	tomograf
tkanka	tkank
organizator	organizator
przerwa	przerw
widz	widz
grochówka	grochówk
budowa	budow
powiat	powiat
włodarz	włodarz
budżet	budżet
tysiąc	tysiąc
złoty	złot
wakacje	wakacj
uroczystość	uroczystość
upominek	upominek
fragment	fragment
trasa	tras
zdawanie	zdawani
resocjalizacja	resocjalizacj
zdanie	zdani
matura	matur
zamiar	zamiar
fizykoterapia	fizykoterapi
gimnazjalista	gimnazjalist
test	test
sala	sal
gimnazjum	gimnazjum
trzecioklasista	trzecioklasist
wiedza	wiedz
poszkodowany	poszkodowan
frank	frank
przedsiębiorstwo	przedsiębiorstw
sposób	sposób
umowa	umow
przetarg	przetarg
drzwi	drzwi
sąd	sąd
zdarzenie	zdarzeni
czerwiec	czerwiec
zło	zł
widzenie	widzeni
natka	natk
marchewka	marchewk
korzeń	korzeń
dodatek	dodatek
twarz	twarz
meliniarstwo	meliniarstw
kilometr	kilometr
diabeł	diabeł
loteryjka	loteryjk
papież	papież
msza	msz
katolik	katolik
imię	imię
kraniec	kraniec
wiek	wiek
promotor	promotor
doktorant	doktorant
wykład	wykład
student	student
proseminarium	proseminarium
seminarium	seminarium
filologia	filologi
historyk	historyk
oddział	oddział
chłop	chłop
dezerter	dezerter
miąższość	miąższość
gleba	gleb
urodzajność	urodzajność
konkurs	konkurs
organizacja	organizacj
master	master
pokazanie	pokazani
ekran	ekran
transport	transport
łączność	łączność
sytuacja	sytuacj
granica	granic
kobieta	kobiet
cykoria	cykori
spółdzielczyni	spółdzielczyni
wieś	wieś
masażysta	masażyst
staw	staw
grobla	grobl
zadumanie	zadumani
zafrasowanie	zafrasowani
program	program
zabawa	zabaw
ciało	ciał
łono	łon
badanie	badani
bakteria	bakteri
zdrowie	zdrowi
reszta	reszt
niewola	niewol
pora	por
wytwórnia	wytwórni
fałszywka	fałszywk
fabryka	fabryk
studolarówka	studolarówk
szpital	szpital
przejazd	przejazd
przód	przód
autobus	autobus
pociąg	pociąg
napastnik	napastnik
zegarek	zegarek
wartość	wartość
potok	potok
uciekinier	uciekinier
rodzina	rodzin
radioodbiornik	radioodbiornik
dostęp	dostęp
żołnierz	żołnierz
partyzant	partyzant
urna	urn
rekompensata	rekompensat
ruina	ruin
orędzie	orędzi
areszt	areszt
pałac	pałac
park	park
apartament	apartament
sypialnia	sypialni
łazienka	łazienk
urząd	urząd
kawiarnia	kawiarni
parasolka	parasolk
zamówienie	zamówieni
zaklinacz	zaklinacz
pogoda	pogod
zalew	zalew
spec	spec
wiatr	wiatr
słońce	słońc
zaklęcie	zaklęci
złamanie	złamani
czaszka	czaszk
zakupienie	zakupieni
butelka	butelk
czwórka	czwórk
wypicie	wypici
trunek	trunek
siedlczann	siedlczann
towarzystwo	towarzystw
przytomność	przytomność
sklep	sklep
pełnienie	pełnieni
funkcja	funkcj
odczucie	odczuci
inwestycja	inwestycj
doświadczenie	doświadczeni
zmęczenie	zmęczeni
tożsamość	tożsamość
realizacja	realizacj
strategia	strategi
dzielenie	dzieleni
parlament	parlament
niezależność	niezależność
wizja	wizj
pomysł	pomysł
centrala	central
czytanie	czytani
skrót	skrót
wydatek	wydatek
kapłan	kapłan
ukaranie	ukarani
prorok	prorok
prawnik	prawnik
karabinier	karabinier
korytarz	korytarz
oskarżenie	oskarżeni
fala	fal
odwołanie	odwołani
podpis	podpis
apel	apel
zakaz	zakaz
broń	broń
bezrobotny	bezrobotn
żona	żon
zeznanie	zeznani
ulga	ulg
rachunek	rachunek
znajomy	znajom
herbata	herbat
szklanka	szklank
córka	córk
syn	syn
brak	brak
osoba	osob
siódemka	siódemk
postępowanie	postępowani
własność	własność
ambasador	ambasador
małżonka	małżonk
zarzut	zarzut
konfiskowanie	konfiskowani
drobiazg	drobiazg
raport	raport
wspólnota	wspólnot
cywil	cywil
porzucanie	porzucani
domostwo	domostw
kapsel	kapsel
uszczelka	uszczelk
napój	napój
posiłek	posiłek
wiceminister	wiceminister
szef	szef
służba	służb
bezpieczeństwo	bezpieczeństw
departament	departament
inwigilacja	inwigilacj
kler	kler
kierowanie	kierowani
porwanie	porwani
zabójstwo	zabójstw
scena	scen
interpretacja	interpretacj
rozbrat	rozbrat
społeczeństwo	społeczeństw
rejon	rejon
obszar	obszar
koncentracja	koncentracj
okręg	okręg
gusła	gusł
muzyka	muzyk
wprowadzenie	wprowadzeni
montaż	montaż
cyfra	cyfr
skup	skup
kwartał	kwartał
rząd	rząd
prymas	prymas
zamierzenie	zamierzeni
gabinet	gabinet
gmach	gmach
kancelaria	kancelari
prezes	prezes
rada	rad
minister	minister
roszczenie	roszczeni
dyspozycja	dyspozycj
racja	racj
sybirak	sybirak
dochodzenie	dochodzeni
zadanie	zadani
rynek	rynek
obrót	obrót
ból	ból
urzędnik	urzędnik
przełożenie	przełożeni
poseł	poseł
lekceważenie	lekceważeni
potrzeba	potrzeb
rolnictwo	rolnictw
szaleństwo	szaleństw
rola	rol
dealer	dealer
warunek	warunek
dostawa	dostaw
kredytowanie	kredytowani
towar	towar
księgowość	księgowość
szkolenie	szkoleni
sieć	sieć
kształt	kształt
postrzał	postrzał
klatka	klatk
prokurator	prokurator
ekspert	ekspert
ćwiczenie	ćwiczeni
rykoszet	rykoszet
napad	napad
wolontariusz	wolontariusz
orkiestra	orkiestr
bęben	bęben
znaczenie	znaczeni
źródło	źródł
odbicie	odbici
prasa	pras
islamista	islamist
taktyka	taktyk
obywatelstwo	obywatelstw
mebel	mebel
nieruchomość	nieruchomość
spółdzielnia	spółdzielni
okoliczność	okoliczność
błąd	błąd
konfiskata	konfiskat
kadra	kadr
napięcie	napięci
poziom	poziom
stopień	stopień
uczenie	uczeni
przykład	przykład
handel	handel
sędzia	sędzi
zwycięzca	zwycięzc
klasyfikacja	klasyfikacj
komentator	komentator
gazeta	gazet
pozyskiwanie	pozyskiwani
mleko	mlek
przewodniczący	przewodnicząc
wrażenie	wrażeni
antyfrancuskość	antyfrancuskość
polityka	polityk
antologia	antologi
wiosna	wiosn
poezja	poezj
przekład	przekład
inklinacja	inklinacj
panienka	panienk
picie	pici
posada	posad
ubogi	ubogi
umysł	umysł
woźnica	woźnic
pomocnik	pomocnik
kufer	kufer
pasażer	pasażer
wnętrze	wnętrz
karetka	karetk
wzmianka	wzmiank
kolej	kolej
gwiazda	gwiazd
przyjaźń	przyjaźń
rycerz	rycerz
towarzysz	towarzysz
król	król
babcia	babci
krzyk	krzyk
dłużnik	dłużnik
wczoraj	wczoraj
marzec	marzec
ostateczność	ostateczność
wyrzut	wyrzut
sumienie	sumieni
rozmyślanie	rozmyślani
pogotowie	pogotowi
chwila	chwil
kontrola	kontrol
łóżko	łóżk
piasek	piasek
piaskownica	piaskownic
dziewczyna	dziewczyn
sąsiedztwo	sąsiedztw
warkoczyk	warkoczyk
kokardka	kokardk
blizna	blizn
rower	rower
sygnatura	sygnatur
starodruk	starodruk
trener	trener
targ	targ
banknot	banknot
sen	sen
wódz	wódz
teka	tek
stanowisko	stanowisk
listopad	listopad
wyborca	wyborc
przyczyna	przyczyn
klęska	klęsk
dialog	dialog
muzułmanin	muzułmanin
karykatura	karykatur
lewica	lewic
przeliczenie	przeliczeni
koszt	koszt
idea	ide
solidarność	solidarność
kongres	kongres
rzeka	rzek
hasło	hasł
przemówienie	przemówieni
stosunek	stosunek
mówca	mówc
reakcja	reakcj
kapitalista	kapitalist
konserwatysta	konserwatyst
przywódca	przywódc
nienawiść	nienawiść
hipokryzja	hipokryzj
filmik	filmik
chamstwo	chamstw
złudzenie	złudzeni
milicja	milicj
karuzela	karuzel
nazwisko	nazwisk
pretendent	pretendent
ratusz	ratusz
konkret	konkret
kwiecień	kwiecień
udział	udział
seans	seans
strach	strach
sojusznik	sojusznik
samoobrona	samoobron
zaprzestanie	zaprzestani
strajk	strajk
maniak	maniak
radio	radi
realia	reali
atak	atak
środowisko	środowisk
medium	medium
przypadek	przypadek
wierzchołek	wierzchołek
drzewo	drzew
burza	burz
lato	lat
nominacja	nominacj
zwyżka	zwyżk
cena	cen
szkoleniowiec	szkoleniowiec
blokada	blokad
wypowiedź	wypowiedź
kierownictwo	kierownictw
pełnomocnik	pełnomocnik
strój	strój
opracowanie	opracowani
mechanizm	mechanizm
zamieszanie	zamieszani
arogancja	arogancj
zawłaszczanie	zawłaszczani
weryfikacja	weryfikacj
telewizja	telewizj
unia	uni
wolność	wolność
byt	byt
oprzyrządowanie	oprzyrządowani
motywacja	motywacj
lokomotywa	lokomotyw
pływanie	pływani
pierwsza	pierwsz
zgoda	zgod
wyjazd	wyjazd
przeciwnik	przeciwnik
obóz	obóz
etykietka	etykietk
wykładnia	wykładni
dzieje	dziej
ugrupowanie	ugrupowani
zjawisko	zjawisk
województwo	województw
tworzenie	tworzeni
blok	blok
wygląd	wygląd
prezencja	prezencj
atut	atut
kandydat	kandydat
znajomość	znajomość
język	język
doktor	doktor
psychika	psychik
morale	moral
klucz	klucz
boks	boks
ogół	ogół
obrona	obron
odpowiedzialność	odpowiedzialność
kompetencja	kompetencj
katechizacja	katechizacj
treść	treść
wiara	wiar
ideologia	ideologi
intencja	intencj
zwolennik	zwolennik
laicyzacja	laicyzacj
ingerencja	ingerencj
prawica	prawic
edukacja	edukacj
logopeda	logoped
specjalista	specjalist
image	imag
mistrzostwa	mistrzostw
szmat	szmat
mundial	mundial
grudzień	grudzień
wydobycie	wydobyci
węgiel	węgiel
tona	ton
gwarancja	gwarancj
postawa	postaw
bocznica	bocznic
wagon	wagon
materiał	materiał
surowiec	surowiec
platforma	platform
miara	miar
partner	partner
koalicja	koalicj
pretensja	pretensj
wiktoria	wiktori
czwartek	czwartek
prom	prom
katastrofa	katastrof
mila	mil
port	port
północ	północ
radar	radar
wieść	wieść
drżenie	drżeni
krąg	krąg
powód	powód
skrócenie	skróceni
finansowanie	finansowani
samolot	samolot
finanse	finans
słuchawka	słuchawk
obejście	obejści
ogon	ogon
buda	bud
sufit	sufit
kapitan	kapitan
anioł	anioł
kara	kar
sprawca	sprawc
pożar	pożar
nieletni	nieletni
próbka	próbk
ścisłość	ścisłość
pewność	pewność
ogródek	ogródek
dzieło	dzieł
fizyka	fizyk
botanik	botanik
astronom	astronom
badacz	badacz
czynność	czynność
mózg	mózg
brud	brud
tworzywo	tworzyw
natura	natur
intuicja	intuicj
istnienie	istnieni
troska	trosk
harmonia	harmoni
nadwozie	nadwozi
dach	dach
kolor	kolor
barwa	barw
krakowianin	krakowianin
ochrona	ochron
liceum	liceum
rozpoczęcie	rozpoczęci
brama	bram
wieczór	wieczór
gang	gang
konstrukcja	konstrukcj
nasyp	nasyp
długość	długość
obwodnica	obwodnic
żywioł	żywioł
zarząd	zarząd
starostwo	starostw
środa	środ
wtorek	wtorek
podniesienie	podniesieni
talerz	talerz
kawałek	kawałek
karp	karp
filiżanka	filiżank
barszcz	barszcz
grusza	grusz
owoc	owoc
plecy	plec
pień	pień
uczucie	uczuci
połowa	połow
sens	sens
szept	szept
kosteczka	kosteczk
gwiazdka	gwiazdk
opłatek	opłatek
sprzęt	sprzęt
akademik	akademik
walet	walet
przyjaciel	przyjaciel
tatuś	tatuś
fotel	fotel
rzut	rzut
pornografia	pornografi
wyróżnienie	wyróżnieni
muzyk	muzyk
stres	stres
zachowanie	zachowani
krzywizna	krzywizn
kręgosłup	kręgosłup
biodro	biodr
tył	tył
wyobraźnia	wyobraźni
spódniczka	spódniczk
stos	stos
wentyl	wentyl
gimnastyka	gimnastyk
mięta	mięt
sztuka	sztuk
pisarz	pisarz
malarz	malarz
poeta	poet
współpraca	współprac
oferta	ofert
piekło	piekł
gospodarz	gospodarz
furia	furi
cukier	cukier
psikanie	psikani
lodówka	lodówk
stolik	stolik
resztka	resztk
mozzarella	mozzarell
opakowanie	opakowani
salami	salami
słoiczek	słoiczek
masło	masł
alkohol	alkohol
pochodzenie	pochodzeni
skala	skal
ciężar	ciężar
przemiana	przemian
wzgląd	wzgląd
lista	list
przedstawicielstwo	przedstawicielstw
firma	firm
wymaganie	wymagani
łódź	łódź
płomień	płomień
strażak	strażak
zwłoki	zwłoki
skin	skin
akt	akt
przejaw	przejaw
agresja	agresj
sweter	sweter
robota	robot
rozdział	rozdział
uśmiech	uśmiech
torba	torb
manierka	manierk
obraz	obraz
utrata	utrat
dech	dech
ociężałość	ociężałość
przyjemność	przyjemność
trud	trud
pokos	pokos
marynarz	marynarz
formacja	formacj
generał	generał
policzek	policzek
łza	łz
milczenie	milczeni
ikona	ikon
cóż	cóż
gówniarz	gówniarz
powstanie	powstani
von	von
personel	personel
kasyno	kasyn
gość	gość
cygaro	cygar
zamyślenie	zamyśleni
stary	star
rozterka	rozterk
samowar	samowar
plebania	plebani
kres	kres
konwersacja	konwersacj
mały	mał
paw	paw
tapczan	tapczan
śniadanie	śniadani
orzech	orzech
szczęka	szczęk
zabranie	zabrani
tryb	tryb
sprostowanie	sprostowani
dyskusja	dyskusj
zaczepka	zaczepk
polemika	polemik
ława	ław
odpowiadanie	odpowiadani
oświadczenie	oświadczeni
koło	koł
lekarka	lekark
obrońca	obrońc
kasta	kast
odmienność	odmienność
syneczek	syneczek
siedzenie	siedzeni
jezioro	jezior
rondo	rond
aleja	alej
ziarno	ziarn
niepokój	niepokój
krowa	krow
jidysz	jidysz
tło	tł
płacz	płacz
transakcja	transakcj
ciąg	ciąg
wykup	wykup
zwrot	zwrot
bonifikata	bonifikat
obowiązek	obowiązek
komornik	komornik
zamieszkanie	zamieszkani
drzewostan	drzewostan
proszek	proszek
pranie	prani
kochanie	kochani
styl	styl
zajmowanie	zajmowani
reagowanie	reagowani
inny	inn
wsparcie	wsparci
możliwość	możliwość
wylot	wylot
rzeczka	rzeczk
morze	morz
koryto	koryt
gospodyni	gospodyni
brew	brew
światło	światł
dziura	dziur
wędkarz	wędkarz
wieloryb	wieloryb
wybrzeże	wybrzeż
odejście	odejści
kształtowanie	kształtowani
wysokość	wysokość
płaca	płac
wariant	wariant
rakieta	rakiet
pięść	pięść
wuj	wuj
waga	wag
promień	promień
pył	pył
zarost	zarost
koszula	koszul
płaszcz	płaszcz
niebo	nieb
gryps	gryps
szczur	szczur
matka	matk
karbidówka	karbidówk
świeca	świec
but	but
skarpeta	skarpet
opał	opał
karbid	karbid
piwnica	piwnic
kupiec	kupiec
ślina	ślin
usypisko	usypisk
śmieć	śmieć
zniżka	zniżk
schronisko	schronisk
zdjęcie	zdjęci
bandyta	bandyt
kałasznikow	kałasznikow
kontrowersja	kontrowersj
rekonstrukcja	rekonstrukcj
przekaz	przekaz
korpus	korpus
rzeźba	rzeźb
odlew	odlew
kamyk	kamyk
mozaika	mozaik
madonna	madonn
powierzchnia	powierzchni
ikonografia	ikonografi
szczęśliwiec	szczęśliwiec
promil	promil
krew	krew
narażenie	narażeni
niebezpieczeństwo	niebezpieczeństw
komenda	komend
mieszkanka	mieszkank
spółka	spółk
stawka	stawk
wywóz	wywóz
nieczystość	nieczystość
pomysłowość	pomysłowość
projektant	projektant
semestr	semestr
topografia	topografi
uczelnia	uczelni
psychol	psychol
tramwaj	tramwaj
ścierwo	ścierw
vectra	vectr
bryka	bryk
komis	komis
fotografik	fotografik
ramy	ram
teczka	teczk
jesień	jesień
ograniczenie	ograniczeni
import	import
ogród	ogród
szurgot	szurgot
opona	opon
poemat	poemat
kosmita	kosmit
cisza	cisz
dziewczynka	dziewczynk
obrażenie	obrażeni
strata	strat
dolar	dolar
rezerwa	rezerw
ropa	rop
eksporter	eksporter
licznik	licznik
liczba	liczb
edycja	edycj
młodzieniec	młodzieniec
regał	regał
koszyk	koszyk
starosta	starost
uruchomienie	uruchomieni
strefa	stref
biopaliwo	biopaliw
wyrób	wyrób
rękodzieło	rękodzieł
rozbieżność	rozbieżność
rzetelność	rzetelność
wyjaśnienie	wyjaśnieni
nieścisłość	nieścisłość
gorąco	gorąc
śledztwo	śledztw
rozbój	rozbój
przestępstwo	przestępstw
śnieg	śnieg
zagrożenie	zagrożeni
szmata	szmat
posłanie	posłani
reporter	reporter
ogień	ogień
uczestnik	uczestnik
libacja	libacj
wyprawa	wypraw
litr	litr
paliwo	paliw
przejechanie	przejechani
wydział	wydział
dziennikarstwo	dziennikarstw
nauka	nauk
uniwersytet	uniwersytet
pojazd	pojazd
woń	woń
strzecha	strzech
stowarzyszenie	stowarzyszeni
rozwój	rozwój
okolica	okolic
przejście	przejści
pieszy	piesz
mag	mag
taran	taran
czar	czar
impotencja	impotencj
flanka	flank
mur	mur
bastion	bastion
bierność	bierność
godność	godność
pozór	pozór
starcie	starci
ochroniarz	ochroniarz
odpoczynek	odpoczynek
wyścig	wyścig
wpływ	wpływ
kostium	kostium
obciążenie	obciążeni
śmiertelnik	śmiertelnik
przedstawienie	przedstawieni
miłość	miłość
świętość	świętość
cierpienie	cierpieni
zachwyt	zachwyt
komplement	komplement
ciasto	ciast
talent	talent
chodnik	chodnik
inność	inność
nietolerancja	nietolerancj
pozbawienie	pozbawieni
odszkodowanie	odszkodowani
synagoga	synagog
bocian	bocian
rozkrok	rozkrok
akademia	akademi
porzucenie	porzuceni
noworodek	noworodek
epitet	epitet
kłamstwo	kłamstw
redakcja	redakcj
tendencyjność	tendencyjność
obiektywizm	obiektywizm
uzyskanie	uzyskani
dowód	dowód
ekspertyza	ekspertyz
ubranie	ubrani
przedmiot	przedmiot
łup	łup
nazwanie	nazwani
personalizm	personalizm
pedofilia	pedofili
prawdopodobieństwo	prawdopodobieństw
dowództwo	dowództw
grafficiarz	grafficiarz
chłopiec	chłopiec
dorosły	dorosł
młodzież	młodzież
chrzcielnica	chrzcielnic
układ	układ
ustalenie	ustaleni
rozmiar	rozmiar
reguła	reguł
opór	opór
ułatwienie	ułatwieni
wyszukiwarka	wyszukiwark
ruch	ruch
adrenalina	adrenalin
słuch	słuch
pokład	pokład
pirat	pirat
wyznanie	wyznani
kilogram	kilogram
podatek	podatek
tenisista	tenisist
odwaga	odwag
pech	pech
dziedzina	dziedzin
skuteczność	skuteczność
trudność	trudność
udowodnienie	udowodnieni
molestowanie	molestowani
tytuł	tytuł
arcydzieło	arcydzieł
narzeczona	narzeczon
tata	tat
monitor	monitor
ciocia	cioci
wideofon	wideofon
piosenka	piosenk
taksówka	taksówk
oddalenie	oddaleni
minibus	minibus
afisz	afisz
szyld	szyld
tabliczka	tabliczk
witraż	witraż
bruderszaft	bruderszaft
plecak	plecak
dupek	dupek
wiadro	wiadr
kaptur	kaptur
stragan	stragan
deszcz	deszcz
posadzka	posadzk
myśl	myśl
rzeczywistość	rzeczywistość
przeżycie	przeżyci
akustyka	akustyk
štoček	štoček
hmotnost	hmotnost
pečivo	pečiv
připomínka	připomínk
chléb	chléb
dodavatel	dodavatel
reklamace	reklamac
norma	norm
pravda	pravd
janek	janek
meziříčí	meziříčí
ustanovení	ustanovení
účinnost	účinnost
čsn	čsn
výrobce	výrobc
možnost	možnost
výrobek	výrobek
dohoda	dohod
odběratel	odběratel
situace	situac
obal	obal
skutečnost	skutečnost
kvalita	kvalit
zboží	zboží
prodejce	prodejc
přejímka	přejímk
prodej	prodej
sleva	slev
odchylka	odchylk
počet	počet
kus	kus
g`gram	g`gram
závada	závad
spotřebitel	spotřebitel
způsob	způsob
ceník	ceník
cenovka	cenovk
tabule	tabul
informace	informac
většina	většin
zákon	zákon
číslo	čísl
ochrana	ochran
povinnost	povinnost
míra	mír
množství	množství
klamání	klamání
uvádění	uvádění
údaj	údaj
vlastnost	vlastnost
zákoník	zákoník
věc	věc
jakost	jakost
právo	práv
dodržování	dodržování
sankce	sankc
inspektor	inspektor
obrázek	obrázek
tisk	tisk
rychlost	rychlost
s`sekunda	s`sekund
mm`milimetr	mm`milimetr
popis	popis
fax	fax
volba	volb
hlavička	hlavičk
řezání	řezání
papír	papír
vyzvednutí	vyzvednutí
zpráva	zpráv
polling	polling
vysílání	vysílání
použití	použití
kopírka	kopírk
připojení	připojení
záznamník	záznamník
ovládání	ovládání
shrnutí	shrnutí
vybavení	vybavení
přístroj	přístroj
řešení	řešení
podnikatel	podnikatel
kancelář	kancelář
personál	personál
provoz	provoz
kontilití	kontilití
huť	huť
společnost	společnost
soubor	soubor
zařízení	zařízení
odlévání	odlévání
ocel	ocel
montáž	montáž
výstavba	výstavb
železárna	železárn
měsíc	měsíc
etapa	etap
výroba	výrob
letadlo	letadl
výcvik	výcvik
armáda	armád
dodávka	dodávk
stroj	stroj
zájemce	zájemc
let	let
zakázka	zakázk
palivo	paliv
čtvrtletí	čtvrtletí
bionafta	bionaft
podnik	podnik
trh	trh
tuna	tun
olej	olej
výhoda	výhod
mikroorganismus	mikroorganismus
látka	látk
traktor	traktor
oblast	oblast
mazání	mazání
pila	pil
hospodářství	hospodářství
závod	závod
druh	druh
maličkost	maličkost
konkurence	konkurenc
vesnice	vesnic
nedávno	nedávn
monopol	monopol
zásobování	zásobování
důsledek	důsledek
soukromník	soukromník
úspěch	úspěch
soused	soused
domek	domek
obchod	obchod
zákazník	zákazník
dovoz	dovoz
hodina	hodin
pekárna	pekárn
obec	obec
cesta	cest
zvýhodnění	zvýhodnění
nákup	nákup
známka	známk
průkazka	průkazk
hodnota	hodnot
částka	částk
závěr	závěr
prodejna	prodejn
regál	regál
vedoucí	vedoucí
zásoba	zásob
případ	případ
postih	postih
začátek	začátek
leden	leden
tuk	tuk
prostředek	prostředek
cukr	cukr
nápad	nápad
podoba	podob
zásobení	zásobení
rubrika	rubrik
honorář	honorář
prémie	prémi
slosování	slosování
koruna	korun
praxe	prax
čtenář	čtenář
dopisovatel	dopisovatel
vůz	vůz
růst	růst
bankrot	bankrot
otázka	otázk
profit	profit
manažer	manažer
čelo	čel
odpověď	odpověď
dvojstrana	dvojstran
benzín	benzín
země	země
indikátor	indikátor
nálada	nálad
člověk	člověk
zvýšení	zvýšení
strana	stran
rozhodnutí	rozhodnutí
zvážení	zvážení
koupě	koupě
souboj	souboj
dik	dik
válka	válk
fond	fond
dušička	dušičk
představa	představ
rozhovor	rozhovor
ztráta	ztrát
automobilka	automobilk
krize	kriz
květen	květen
reportáž	reportáž
dluh	dluh
výše	výš
potíž	potíž
zaměstnanec	zaměstnanec
naděje	naděj
příchod	příchod
období	období
propad	propad
jednání	jednání
banka	bank
úprava	úprav
podmínka	podmínk
splácení	splácení
úvěr	úvěr
získání	získání
pokračování	pokračování
očekávání	očekávání
výluka	výluk
počátek	počátek
srpen	srpen
den	den
činnost	činnost
automobil	automobil
vozidlo	vozidl
výsledek	výsledek
propouštění	propouštění
vítězství	vítězství
soutěž	soutěž
kamión	kamión
místo	míst
klasifikace	klasifikac
rallye	rally
názor	názor
hlas	hlas
pramen	pramen
opatření	opatření
snížení	snížení
výkon	výkon
organismus	organismus
obrátka	obrátk
pochybnost	pochybnost
spekulace	spekulac
vývoj	vývoj
ukazatel	ukazatel
příjem	příjem
turistika	turistik
rezerva	rezerv
odhad	odhad
výhled	výhled
poradce	poradc
daň	daň
úřad	úřad
dotaz	dotaz
dph	dph
sdružení	sdružení
základ	základ
zprostředkování	zprostředkování
ručení	ručení
plátce	plátc
odnož	odnož
odstavec	odstavec
plnění	plnění
smlouva	smlouv
obrat	obrat
rámec	rámec
hranice	hranic
podíl	podíl
okolnost	okolnost
důvod	důvod
uzavření	uzavření
limit	limit
řada	řad
koncert	koncert
riziko	rizik
vystoupení	vystoupení
vstupné	vstupné
návštěva	návštěv
slovo	slov
posluchač	posluchač
nadšení	nadšení
zapomnění	zapomnění
dynamika	dynamik
hudba	hudb
mlha	mlh
pohyb	pohyb
útroby	útrob
hala	hal
pořadatel	pořadatel
zisk	zisk
milión	milión
pětistovka	pětistovk
hra	hr
dobrodiní	dobrodiní
západ	západ
pšenka	pšenk
turné	turné
termín	termín
vstupenka	vstupenk
divák	divák
dem	dem
stovka	stovk
rozdíl	rozdíl
východ	východ
skončení	skončení
voda	vod
pořádání	pořádání
palác	palác
sport	sport
úroveň	úroveň
start	start
ředitel	ředitel
vstup	vstup
noc	noc
ekonomika	ekonomik
nabídka	nabídk
poptávka	poptávk
minimum	minimum
usd	usd
lavina	lavin
pozice	pozic
trend	trend
přehled	přehled
rider	rider
alfa	alf
omega	omeg
zavěšení	zavěšení
pódium	pódium
horolezec	horolezec
garance	garanc
chod	chod
publicita	publicit
návštěvnost	návštěvnost
televize	televiz
rozhlas	rozhlas
plakát	plakát
leták	leták
médium	médium
plocha	ploch
peníze	peníz
risk	risk
starost	starost
průběh	průběh
kino	kin
vodotisk	vodotisk
finesa	fines
zfalšování	zfalšování
sto	st
kontrolor	kontrolor
padesátka	padesátk
záda	zád
hudebník	hudebník
specialista	specialist
přesnost	přesnost
fanoušek	fanoušek
dělení	dělení
tržba	tržb
kapela	kapel
zeď	zeď
účet	účet
dispozice	dispozic
propagace	propagac
náklad	náklad
reklama	reklam
ochranka	ochrank
poplatek	poplatek
převod	převod
strava	strav
pracovník	pracovník
příprava	příprav
celník	celník
svaz	svaz
ubytování	ubytování
kapsa	kaps
polovina	polovin
obava	obav
peníz	peníz
umění	umění
souvislost	souvislost
prodělek	prodělek
pohled	pohled
přežití	přežití
produkce	produkc
zahrnutí	zahrnutí
faktor	faktor
nula	nul
lístek	lístek
producent	producent
kšeft	kšeft
počasí	počasí
stadión	stadión
vztah	vztah
prostřednictví	prostřednictví
předprodej	předprodej
zásah	zásah
podpora	podpor
účast	účast
dvojnásobek	dvojnásobek
odečtení	odečtení
výbor	výbor
vůle	vůl
foto	fot
odklad	odklad
placení	placení
předpoklad	předpoklad
obyvatelstvo	obyvatelstv
podnikání	podnikání
ohled	ohled
výklad	výklad
vysvětlení	vysvětlení
téma	tém
ministerstvo	ministerstv
finance	financ
poplatník	poplatník
rejstřík	rejstřík
zaměstnání	zaměstnání
důchod	důchod
zabezpečení	zabezpečení
uplatnění	uplatnění
vznik	vznik
osvobození	osvobození
nárok	nárok
odložení	odložení
rozvoj	rozvoj
majetek	majetek
dkp	dkp
materiál	materiál
oprava	oprav
údržba	údržb
nabytí	nabytí
význam	význam
zrušení	zrušení
doplacení	doplacení
text	text
kresba	kresb
bolení	bolení
hlava	hlav
reflex	reflex
zpěvačka	zpěvačk
akce	akc
mečení	mečení
kůzlátko	kůzlátk
farma	farm
manžel	manžel
budoucnost	budoucnost
perla	perl
článek	článek
krumlesco	krumlesc
poklad	poklad
kuriozita	kuriozit
monument	monument
přehrada	přehrad
vrchol	vrchol
kopec	kopec
zahradník	zahradník
kauza	kauz
expert	expert
využití	využití
senior	senior
organizace	organizac
půda	půd
prosinec	prosinec
koncipování	koncipování
management	management
motivace	motivac
tvorba	tvorb
plán	plán
vedení	vedení
katalog	katalog
stupeň	stupeň
řízení	řízení
snaha	snah
zkušenost	zkušenost
působení	působení
koncept	koncept
zveřejnění	zveřejnění
spolupráce	spoluprác
kompetence	kompetenc
problém	problém
přístup	přístup
práce	prác
vliv	vliv
generace	generac
poznatek	poznatek
srovnání	srovnání
konzultace	konzultac
nedostatek	nedostatek
příležitost	příležitost
úvaha	úvah
stránka	stránk
potřeba	potřeb
nebezpečí	nebezpečí
omezování	omezování
operace	operac
systém	systém
úvěrování	úvěrování
sazba	sazb
používání	používání
šek	šek
říjen	říjen
kaktus	kaktus
lékárna	lékárn
ulice	ulic
mast	mast
gel	gel
návod	návod
čeština	češtin
předpis	předpis
součást	součást
překlad	překlad
pacient	pacient
lék	lék
tableta	tablet
lékař	lékař
kontraindikace	kontraindikac
účinek	účinek
ospalost	ospalost
vhodnost	vhodnost
léčba	léčb
pučálka	pučálk
instalace	instalac
fólie	fóli
oddělení	oddělení
dřeň	dřeň
klinika	klinik
nemocnice	nemocnic
prostředí	prostředí
dílo	díl
ekonom	ekonom
tvrzení	tvrzení
škola	škol
